Index,Current URL,Title,Doc ID
147,https://ssc.wisc.edu/sscc/pubs/DWE/solutions_Python/5-transforming-variables.html,5 Transforming variables | Data Wrangling Essentials - Exercise Solutions in Python,
148,https://ssc.wisc.edu/sscc/pubs/DWE/solutions_Python/6-1-preparatory-exercises-3.html,6.1 Preparatory exercises | Data Wrangling Essentials - Exercise Solutions in Python,
149,https://ssc.wisc.edu/sscc/pubs/DWE/solutions_Python/6-2-tidy-data.html,6.2 Tidy data | Data Wrangling Essentials - Exercise Solutions in Python,
150,https://ssc.wisc.edu/sscc/pubs/DWE/solutions_Python/6-3-aggregating-data.html,6.3 Aggregating data | Data Wrangling Essentials - Exercise Solutions in Python,
151,https://ssc.wisc.edu/sscc/pubs/DWE/solutions_Python/6-transforming-variables-1.html,6 Transforming variables | Data Wrangling Essentials - Exercise Solutions in Python,
152,https://ssc.wisc.edu/sscc/pubs/DWE/solutions_Python/preface.html,Data Wrangling Essentials - Exercise Solutions in Python,
153,https://ssc.wisc.edu/sscc/pubs/GitBrief/GitBriefIntro.html,Git - Brief Introduction,
154,https://ssc.wisc.edu/sscc/pubs/MM/MM_DiagInfer.html,Mixed Models: Diagnostics and Inference,
155,https://ssc.wisc.edu/sscc/pubs/MM/MM_DiagInfer_Sol.html,Mixed Models: Diagnostics and Inference solutions,
156,https://ssc.wisc.edu/sscc/pubs/MM/MM_Introduction.html,Mixed Models: Introduction,
157,https://ssc.wisc.edu/sscc/pubs/MM/MM_Models.html,Mixed Models: Models,
158,https://ssc.wisc.edu/sscc/pubs/MM/MM_Models_Sol.html,Mixed Models: Models solutions,
159,https://ssc.wisc.edu/sscc/pubs/MM/MM_MultRand.html,Mixed Models: Multiple Random Parameters,
160,https://ssc.wisc.edu/sscc/pubs/MM/MM_TestEffects.html,Mixed Models: Testing Significance of Effects,
161,https://ssc.wisc.edu/sscc/pubs/MM/MM_TestEffects_Sol.html,Mixed Models: Testing Significance of Effects solutions,
162,https://ssc.wisc.edu/sscc/pubs/RBrief/R_BriefIntro.html,R - A Brief Introduction,
163,https://ssc.wisc.edu/sscc/pubs/RBrief/R_BriefIntroReg.html,R - A Brief Introduction to Regression,
164,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_DataExpl.html,R for Researchers: Data exploration,
165,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_DataExpl_Sol.html,R for Researchers: Data exploration solutions,
166,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_DataPrep.html,R for Researchers: Data preparation,
167,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_DataPrep_Sol.html,R for Researchers: Data preparation solutions,
168,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_DataPres.html,R for researchers: Data presentation,
169,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_DataPres_SalDoc.html,R for researchers: Final SalDoc,
